"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.052330220E-1,6.143596172E-1,-3.480684042E0,-2.475458533E-1
6.101293240E-1,5.343386531E-1,-3.082946062E0,-2.053973973E-1
6.150256790E-1,4.482091665E-1,-2.674289227E0,-2.127275616E-1
6.199219810E-1,3.565820754E-1,-2.260134935E0,-2.591519356E-1
6.248182830E-1,2.619007528E-1,-1.856364846E0,-3.153499067E-1
6.297330740E-1,1.568350345E-1,-1.413500547E0,-3.495573401E-1
6.346109390E-1,3.344388679E-2,-8.918370008E-1,-3.342861533E-1
6.395254700E-1,-9.972081333E-2,-3.138991296E-1,-2.658712566E-1
6.444035430E-1,-2.011214644E-1,1.827196926E-1,-1.840177327E-1
6.493180740E-1,-2.970244884E-1,6.604022384E-1,-9.177979827E-2
6.541961990E-1,-3.868190348E-1,1.067226529E0,7.788302377E-3
6.590925010E-1,-4.723376334E-1,1.377536893E0,1.085781008E-1
6.639888560E-1,-5.499152541E-1,1.602328658E0,1.911188364E-1
6.688851580E-1,-6.116108298E-1,1.742212772E0,2.454842478E-1
6.737814600E-1,-6.574243903E-1,1.780085325E0,2.699181437E-1
6.786778140E-1,-6.818582416E-1,1.710448623E0,2.601445615E-1
6.835741160E-1,-6.891884208E-1,1.540022254E0,2.186069638E-1
6.884738560E-1,-6.879667044E-1,1.298737645E0,1.654632539E-1
6.933667720E-1,-6.818582416E-1,1.029353976E0,1.091889441E-1
6.982630740E-1,-6.726955175E-1,7.599703670E-1,5.115845799E-2
7.031593760E-1,-6.629219651E-1,5.229616165E-1,-2.596100792E-3
7.080556790E-1,-6.482616663E-1,3.152735531E-1,-4.352286831E-2
7.129520330E-1,-6.201626658E-1,1.479013860E-1,-7.711946964E-2
7.178483350E-1,-5.890094638E-1,8.926005661E-2,-1.052184403E-1
7.227446370E-1,-5.774033666E-1,1.631725729E-1,-1.168245375E-1
7.276409910E-1,-5.822901726E-1,3.061108291E-1,-1.217113137E-1
7.325372930E-1,-5.890094638E-1,4.618768692E-1,-1.223221645E-1
7.374335950E-1,-5.951179266E-1,6.701757908E-1,-1.186570823E-1
7.423299490E-1,-6.030589342E-1,9.389485717E-1,-1.101052165E-1
