"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.448519689E0,6.302096844E-1,9.473184586E0,-1.578664780E0
1.453415991E0,2.997010350E-1,9.487542152E0,-7.121638656E-1
1.458312293E0,-1.456630826E-1,9.463613510E0,2.503490746E-1
1.463208647E0,-3.514458239E-1,9.470791817E0,1.260718465E0
1.468104949E0,-3.945166469E-1,9.556933403E0,1.974078655E0
1.473001251E0,-6.002993584E-1,9.717252731E0,2.369193554E0
1.477897606E0,-7.800601721E-1,9.844072342E0,2.785843849E0
1.482793908E0,-8.446664214E-1,9.973584175E0,2.943770170E0
1.487690210E0,-8.039883971E-1,9.999904633E0,2.644368172E0
1.492586512E0,-6.963114142E-1,9.990333557E0,2.335694075E0
1.497482866E0,-5.548357368E-1,9.932606697E0,2.165803671E0
1.502379168E0,-3.586242795E-1,9.710074425E0,1.926222205E0
1.507275470E0,-2.676970363E-1,9.521040916E0,1.875972986E0
1.512171824E0,-2.318046987E-1,9.566504478E0,1.811366796E0
1.517068126E0,1.016949583E-2,9.353244781E0,1.720439434E0
1.521982866E0,-4.007977992E-2,9.300602913E0,1.959721804E0
1.526860783E0,-2.389831543E-1,9.523433685E0,1.605584025E0
1.531757085E0,3.858426511E-1,9.111569405E0,8.344969153E-1
1.536653387E0,2.709871531E-1,9.216854095E0,1.050150037E0
1.541549689E0,1.322034448E-1,9.413364410E0,9.254241586E-1
1.546446043E0,4.366901144E-2,9.521040916E0,1.141077280E0
1.551342345E0,-1.719841212E-1,9.518648148E0,1.914258122E0
1.556238647E0,1.495514158E-2,9.552147865E0,2.512762785E0
1.561153179E0,-8.344969153E-2,9.815358162E0,2.244766712E0
1.566031304E0,-3.490529954E-1,9.959226608E0,1.624726534E0
1.570927606E0,-5.285146832E-1,1.017458057E1,1.627119422E0
1.575823908E0,-4.208376706E-1,1.025115108E1,1.246361494E0
1.580738439E0,-1.504487246E-1,1.006211853E1,1.035793066E0
1.585616564E0,-4.007977992E-2,9.868000984E0,1.045364380E0
1.590531043E0,4.366901144E-2,9.753145218E0,1.059721351E0
1.595409220E0,1.704886109E-1,9.676574707E0,1.181755304E0
1.600305522E0,1.202393398E-1,9.566504478E0,1.236790180E0
1.605201824E0,4.606183618E-2,9.523433685E0,1.248754263E0
1.610098126E0,4.366901144E-2,9.542576790E0,1.243968725E0
1.614994481E0,-2.333002165E-2,9.655039787E0,1.234397411E0
1.619890783E0,-1.624128371E-1,9.712467194E0,1.042971611E0
1.624787085E0,-2.724826932E-1,9.736394882E0,1.033400297E0
1.629683439E0,-2.318046987E-1,9.719645500E0,1.299003601E0
1.634579741E0,-2.318046987E-1,9.736394882E0,1.466501236E0
1.639476043E0,-3.610171080E-1,9.820143700E0,1.548156261E0
1.644372397E0,-3.490529954E-1,9.906285286E0,1.562513232E0
1.649268699E0,-2.748754919E-1,9.894321442E0,1.502393484E0
1.654165001E0,-1.863410622E-1,9.844072342E0,1.480858088E0
1.659061304E0,-2.102692872E-1,9.822537422E0,1.567298889E0
1.663957658E0,-2.509472668E-1,9.810572624E0,1.567298889E0
1.668853960E0,-1.600200087E-1,9.863214493E0,1.423430324E0
1.673750262E0,7.776673418E-3,9.858428955E0,1.272682548E0
1.678646564E0,9.152546525E-2,9.779465675E0,1.129113197E0
1.683542918E0,1.274178028E-1,9.798608780E0,1.069292665E0
1.688439220E0,1.728814393E-1,9.891928673E0,1.076471090E0
1.693335522E0,1.848455518E-1,9.980762482E0,1.016650558E0
1.698231876E0,2.087737769E-1,1.003579712E1,9.182456732E-1
1.703128179E0,3.164508045E-1,1.005254745E1,7.818548083E-1
1.708024481E0,4.528416991E-1,1.002861881E1,7.363911867E-1
1.712920783E0,5.919244885E-1,9.987940788E0,8.225327730E-1
1.717817137E0,6.732804775E-1,1.006929684E1,9.110672474E-1
1.722713439E0,7.139584422E-1,1.019850922E1,8.129615188E-1
1.727609741E0,8.048857450E-1,1.021286583E1,7.172485590E-1
1.732524272E0,7.977072597E-1,1.012672424E1,7.627122402E-1
1.737402397E0,7.259225845E-1,1.012433147E1,8.847461939E-1
1.742298699E0,6.038886309E-1,1.017218781E1,9.804590940E-1
1.747195054E0,5.679962635E-1,1.013150978E1,1.117149115E0
1.752091356E0,7.331010103E-1,1.005972576E1,9.469595551E-1
1.756987658E0,7.019943595E-1,9.674181938E0,1.253539920E0
1.761883960E0,6.852445602E-1,9.384351730E0,1.804188251E0
1.766780314E0,6.397809386E-1,9.418149948E0,2.141875267E0
1.771676616E0,5.679962635E-1,9.422935486E0,2.192124605E0
