"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.616939481E0,4.762500286E0,-4.447500229E1,-3.339375305E1
1.626939481E0,4.818750381E0,-4.468125153E1,-3.326250076E1
1.636939481E0,4.762500286E0,-4.468125153E1,-3.316875076E1
1.646939481E0,4.537500381E0,-4.455000305E1,-3.318750000E1
1.656939481E0,4.593750000E0,-4.440000153E1,-3.335625076E1
1.666939481E0,4.631250381E0,-4.440000153E1,-3.316875076E1
1.676939481E0,4.743750095E0,-4.428750229E1,-3.313125229E1
1.686939481E0,4.500000000E0,-4.423125076E1,-3.318750000E1
1.696939481E0,4.893750191E0,-4.423125076E1,-3.285000229E1
1.706939481E0,4.950000286E0,-4.425000000E1,-3.285000229E1
1.716939481E0,4.931250095E0,-4.432500076E1,-3.283125305E1
1.726939481E0,5.137500286E0,-4.428750229E1,-3.279375076E1
1.736939481E0,5.231250286E0,-4.441875076E1,-3.258750153E1
1.746939481E0,5.137500286E0,-4.451250076E1,-3.258750153E1
1.756939481E0,5.325000286E0,-4.445625305E1,-3.273750305E1
1.766939481E0,5.325000286E0,-4.441875076E1,-3.286875153E1
1.776939481E0,5.343750000E0,-4.449375153E1,-3.307500076E1
1.786939481E0,5.306250095E0,-4.449375153E1,-3.311250305E1
1.796939481E0,5.231250286E0,-4.447500229E1,-3.322500229E1
1.806939481E0,5.100000381E0,-4.460625076E1,-3.341250229E1
1.816939481E0,4.875000000E0,-4.470000076E1,-3.358125305E1
1.826939481E0,4.837500095E0,-4.479375076E1,-3.361875153E1
1.836939481E0,4.706250191E0,-4.498125076E1,-3.337500000E1
1.846939481E0,4.706250191E0,-4.509375000E1,-3.324375153E1
1.856939481E0,4.556250095E0,-4.513125229E1,-3.343125153E1
1.866939481E0,4.706250191E0,-4.513125229E1,-3.337500000E1
1.876939481E0,4.668750286E0,-4.526250076E1,-3.324375153E1
1.886939481E0,4.781250000E0,-4.507500076E1,-3.320625305E1
1.896939481E0,4.818750381E0,-4.494375229E1,-3.305625153E1
1.906939481E0,4.725000381E0,-4.473750305E1,-3.305625153E1
1.916939481E0,4.912500381E0,-4.479375076E1,-3.305625153E1
1.926939481E0,4.856250286E0,-4.475625229E1,-3.309375000E1
1.936939481E0,4.650000095E0,-4.471875000E1,-3.290625000E1
1.946939481E0,4.518750191E0,-4.470000076E1,-3.288750076E1
1.956939481E0,4.687500000E0,-4.456875229E1,-3.279375076E1
1.966939481E0,4.575000286E0,-4.477500153E1,-3.283125305E1
1.976939481E0,4.500000000E0,-4.500000000E1,-3.279375076E1
1.986939481E0,4.575000286E0,-4.513125229E1,-3.264375305E1
1.996939481E0,4.593750000E0,-4.485000229E1,-3.285000229E1
2.006939481E0,4.687500000E0,-4.475625229E1,-3.273750305E1
2.016939481E0,5.006250381E0,-4.481250000E1,-3.268125153E1
2.026939481E0,5.006250381E0,-4.492500305E1,-3.256875229E1
2.036939481E0,5.081250191E0,-4.500000000E1,-3.266250229E1
2.046939481E0,5.325000286E0,-4.483125305E1,-3.228750229E1
2.056939481E0,5.700000286E0,-4.477500153E1,-3.225000000E1
2.066939481E0,5.718750000E0,-4.466250229E1,-3.232500076E1
2.076939481E0,5.925000191E0,-4.470000076E1,-3.208125305E1
2.086939481E0,6.093750477E0,-4.503750229E1,-3.191250038E1
2.096939481E0,6.056250095E0,-4.492500305E1,-3.196875191E1
