"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.150256790E-1,-8.487426043E-1,5.178461075E-1,-2.739771843E0
6.199219810E-1,-3.015365303E-1,6.798896790E-1,-2.880119801E0
6.248182830E-1,-3.310966492E-1,9.126043320E-1,-2.841589451E0
6.297330740E-1,-7.788128853E-1,1.253430367E0,-3.221823215E0
6.346109390E-1,-1.592914462E0,1.820307732E0,-3.980213404E0
6.395254700E-1,-2.561100006E0,2.523628235E0,-5.208864689E0
6.444035430E-1,-2.205547810E0,2.616858482E0,-3.489836216E0
6.493180740E-1,-1.800945401E0,2.193111420E0,-3.338349819E0
6.541961990E-1,-1.488880038E0,1.714735985E0,-2.625502586E0
6.590925010E-1,-1.359503746E0,1.497786522E0,-1.792606950E0
6.639888560E-1,-1.014712214E0,1.319162369E0,-1.051295042E0
6.688851580E-1,-5.505935550E-1,9.671134949E-1,-1.102958918E-1
6.737814600E-1,-1.716712564E-1,4.595489502E-1,8.966693878E-1
6.786778140E-1,1.852297485E-1,-1.359987259E-1,1.965470195E0
6.835741160E-1,5.161485672E-1,-6.646823883E-1,2.975481033E0
6.884738560E-1,5.385898948E-1,-9.965801239E-1,3.623784065E0
6.933667720E-1,3.687725663E-1,-1.150006294E0,3.832979679E0
6.982630740E-1,2.480066568E-1,-1.271301270E0,3.739702463E0
7.031593760E-1,-9.013724327E-2,-1.272885323E0,3.320269585E0
7.080556790E-1,-4.092654586E-1,-1.205649376E0,2.831558704E0
7.129520330E-1,-5.361764431E-1,-1.110679626E0,2.642809153E0
7.178483350E-1,-3.455612659E-1,-9.644804001E-1,1.796841145E0
7.227446370E-1,-1.763979793E-1,-1.002406120E0,3.333437443E-1
7.276409910E-1,-4.934567958E-2,-8.403978348E-1,-6.866903305E-1
7.325372930E-1,-7.337256521E-2,-3.088970184E-1,-9.579814672E-1
7.374335950E-1,-2.421068251E-1,2.282028198E-1,-1.417568326E0
7.423299490E-1,-3.044377267E-1,4.620466232E-1,-1.992849350E0
7.472262510E-1,-4.486732483E-1,4.756546021E-1,-2.369125366E0
7.521225540E-1,-5.601527095E-1,3.204717636E-1,-2.286115170E0
7.570188560E-1,-5.891658068E-1,1.236410141E-1,-1.989333987E0
7.619152100E-1,-6.457333565E-1,-7.661819458E-2,-1.532163143E0
7.668115120E-1,-7.583862543E-1,-1.733875275E-1,-1.022396684E0
7.717078140E-1,-1.063137412E0,-7.943534851E-2,-7.005059719E-1
7.766041680E-1,-1.431418896E0,1.968727112E-1,-5.227656364E-1
7.815004700E-1,-1.516392708E0,3.953485489E-1,-5.482048988E-1
7.863967720E-1,-1.456198454E0,5.000495911E-1,-4.811503887E-1
7.913113040E-1,-1.552487254E0,5.852222443E-1,-9.853887558E-2
7.961894290E-1,-1.668191552E0,7.265863419E-1,7.771804333E-1
8.010857310E-1,-1.568572640E0,8.735074997E-1,1.622868299E0
8.059820850E-1,-1.367426634E0,1.016273499E0,1.977848291E0
8.108783870E-1,-1.224816442E0,1.128852844E0,1.666652203E0
8.157746890E-1,-1.433399439E0,1.356712341E0,1.009047031E0
8.206710430E-1,-1.589469790E0,1.549353600E0,3.611483574E-1
8.255673450E-1,-1.538992643E0,1.588048935E0,-2.974128723E-2
8.304818760E-1,-1.406683445E0,1.487936974E0,-2.314531803E-1
8.353599490E-1,-1.275850296E0,1.325947762E0,-5.041384697E-1
8.402744810E-1,-1.246202707E0,1.280953407E0,-8.714184761E-1
8.451526060E-1,-1.145131469E0,1.252350807E0,-1.125778437E0
8.500489080E-1,-9.224507213E-1,1.137845993E0,-1.377511263E0
8.549452620E-1,-8.013701439E-1,9.831342697E-1,-1.676155567E0
